name,platform,dependents_count,dependent_repos_count,stars,forks,contributions_count,rank,gap,reverse_gap,hidden_score,critical_fragile,staleness_years,release_count,releases_per_year,first_release_year,last_release_year,license,domain,repo_host,repo_org,status,deprecation_reason,cluster,keywords_text
remark-preset-lint-recommended,npm,920,516,970,135,49,23,0.2507690871029067,-0.2507690871029067,-0.5121373626795626,-1.0630158620288253,0.947296372347707,18,1.8,2016,2025,MIT,multi,github.com,remarkjs,,,5,preset recommended remark remark-lint remark-preset check lint markdown remark-plugin style style-linter
rollup-plugin-cleaner,npm,920,405,7,1,3,17,0.35573359661965487,-0.35573359661965487,1.0240484979829994,3.302987874375063,6.5188227241615335,3,1.0,2017,2019,MIT,devtools,github.com,saf33r,,,3,rollup rollup-plugin clean remove delete
glob-all,npm,923,363,55,8,10,20,0.4045705875710506,-0.4045705875710506,0.5359959723615357,1.1913810146179036,3.186858316221766,13,1.4444444444444444,2014,2022,MIT,other,github.com,jpillora,,,5,glob multi all manifest generation file
uuidv4,npm,919,311,186,23,8,14,0.46963323332711226,-0.46963323332711226,0.2926314589301364,1.1372480890991752,3.79192334017796,39,4.333333333333333,2014,2022,MIT,other,github.com,thenativeweb,Deprecated,Package no longer supported. Contact Support at https://www.npmjs.com/support for more info.,5,guid uuid
gulp-rev,npm,948,481,1539,213,38,23,0.29421917418844323,-0.29421917418844323,-0.5737064227029784,-1.298719867024206,0.188911704312115,32,2.4615384615384617,2013,2025,MIT,multi,github.com,sindresorhus,,,5,gulpplugin rev revving revision hash optimize version versioning cache expire static asset assets gulp-plugin javascript manifest nodejs
mocha-webpack,npm,918,500,486,75,18,21,0.26347778551886547,-0.26347778551886547,-0.29944447641317273,1.7987497532851078,7.800136892539356,21,7.0,2016,2018,MIT,devtools,github.com,zinserjan,,,3,webpack mocha
osenv,npm,919,548,137,21,6,15,0.22421548289546323,-0.22421548289546323,0.003456315178344438,2.6606460882768523,7.8932238193018485,9,1.2857142857142858,2012,2018,ISC,other,github.com,npm,Deprecated,This package is no longer supported.,3,environment variable home tmpdir path prompt ps1
scroll-into-view-if-needed,npm,917,238,1414,77,66,21,0.5844447802531048,-0.5844447802531048,-0.09692111827231975,-0.8456410924400456,2.31895961670089,84,10.5,2016,2023,MIT,multi,github.com,scroll-into-view,,,0,behavior-smooth if-needed polyfill ponyfill scroll scroll-into-view scrollintoview scrollintoviewifneeded scrollmode smooth smoothscroll typescript animation scrolling smooth-scrolling
link-preview-js,npm,943,254,840,128,39,20,0.5684318138641138,-0.5684318138641138,0.007399180039727782,-1.162817426900069,0.13415468856947296,45,6.428571428571429,2019,2025,MIT,web,github.com,ospfranco,,,0,javascript link url http preview chrome cors extract extract-information firefox js-library nodejs parsing react-native safari typescript
pug-loader,npm,917,406,426,116,17,20,0.3532482719760224,-0.3532482719760224,-0.1548445476092384,1.826033384425696,7.7782340862423,10,2.5,2015,2018,MIT,multi,github.com,pugjs,,,3,
node-cmd,npm,918,404,285,31,6,21,0.35586048817144267,-0.35586048817144267,0.003461156082575828,1.3479579668528443,4.446269678302532,11,1.375,2014,2021,MIT,devtools,github.com,riaevangelist,,,5,commandline terminal shell cmd cli bash script node
miniprogram-simulate,npm,977,167,514,65,8,19,0.7650295730617387,-0.7650295730617387,0.45593782053484816,0.43276470498623576,2.3572895277207393,60,10.0,2018,2023,MIT,testing,github.com,wechat-miniprogram,,,0,miniprogram custom component unit test
