metric,emotion,value,split,model,genre
spearman,tension,0.0863430469788378,leave_one_genre_out,RandomForest,classical
ece,tension,0.05483152710668779,leave_one_genre_out,RandomForest,classical
mae,sadness,0.16448231202361657,leave_one_genre_out,RandomForest,classical
pearson,sadness,0.13638817751892574,leave_one_genre_out,RandomForest,classical
spearman,sadness,0.07795067805915361,leave_one_genre_out,RandomForest,classical
ece,sadness,0.11125896424693948,leave_one_genre_out,RandomForest,classical
mae,macro,0.14204818185381304,leave_one_genre_out,RandomForest,classical
pearson,macro,0.22763559353260898,leave_one_genre_out,RandomForest,classical
spearman,macro,0.2390791306737111,leave_one_genre_out,RandomForest,classical
ece,macro,0.07638853328459819,leave_one_genre_out,RandomForest,classical
topk_overlap,macro,0.44999999999999996,leave_one_genre_out,RandomForest,classical
mae,amazement,0.08113395938205112,leave_one_genre_out,XGBoost,classical
pearson,amazement,0.07219642369930053,leave_one_genre_out,XGBoost,classical
spearman,amazement,0.07596986952928605,leave_one_genre_out,XGBoost,classical
ece,amazement,0.031115410316573385,leave_one_genre_out,XGBoost,classical
mae,solemnity,0.11814216919175903,leave_one_genre_out,XGBoost,classical
pearson,solemnity,0.11458807335002963,leave_one_genre_out,XGBoost,classical
spearman,solemnity,0.09986550217883726,leave_one_genre_out,XGBoost,classical
ece,solemnity,0.04532335936144994,leave_one_genre_out,XGBoost,classical
mae,tenderness,0.15005831821202317,leave_one_genre_out,XGBoost,classical
pearson,tenderness,0.08988192742029134,leave_one_genre_out,XGBoost,classical
spearman,tenderness,0.08971792058527198,leave_one_genre_out,XGBoost,classical
ece,tenderness,0.07969100073060448,leave_one_genre_out,XGBoost,classical
mae,nostalgia,0.1688850751825263,leave_one_genre_out,XGBoost,classical
pearson,nostalgia,0.11899165474242722,leave_one_genre_out,XGBoost,classical
spearman,nostalgia,0.10683546419661434,leave_one_genre_out,XGBoost,classical
ece,nostalgia,0.11497974620562557,leave_one_genre_out,XGBoost,classical
mae,calmness,0.19878091469290282,leave_one_genre_out,XGBoost,classical
pearson,calmness,0.4041389806097757,leave_one_genre_out,XGBoost,classical
