"trip_distance","trips","avg_tip_pct"
22.6,68988,0.10308124926544623
22.7,56090,0.10387978979267501
22.8,58524,0.10227356472958236
22.9,48032,0.0999652134702248
23,50720,0.10248422026473528
23.1,41414,0.09980196834772682
23.2,43342,0.09956739080769973
23.3,35690,0.10075445167294485
23.4,38538,0.09778977173070967
23.5,31936,0.10069676612254244
23.6,34134,0.0997146074226021
23.7,29210,0.10179730700616166
23.8,31364,0.09997660880319569
23.9,26840,0.10520408332020217
24,29126,0.10085677959292559
24.1,24322,0.10478145424055574
24.2,25924,0.10000621909569236
24.3,22108,0.10028746667485036
24.4,23450,0.0979885850714021
24.5,20184,0.10081088553163474
24.6,22274,0.10247538302056555
24.7,19202,0.09852132152443618
24.8,20340,0.10160725546292575
24.9,17840,0.10171667391838848
25,19156,0.10222898324743454
25.1,16882,0.10008172011260566
25.2,18180,0.10106167141476256
25.3,16174,0.09879719079320895
25.4,17456,0.098745670119921
25.5,15372,0.09904505656311861
25.6,16764,0.10098903495230198
25.7,14960,0.10339228237713614
25.8,16438,0.09826041567372258
25.9,14504,0.10011683696909927
26,16640,0.09940463439842763
26.1,14530,0.10385265736553943
26.2,16360,0.09731269682666109
26.3,14408,0.10016457952095048
26.4,16224,0.10002949578086737
26.5,14050,0.10231323703811654
26.6,15650,0.10098097483314315
26.7,13888,0.10341221982681494
26.8,14950,0.1003635376915884
26.9,13072,0.09848118869662383
27,14174,0.10117846124511576
27.1,12360,0.11006153872509444
27.2,13328,0.10203336817215193
27.3,12034,0.10069983025067145
27.4,13142,0.10385092632290499
27.5,11640,0.10192283415762461
27.6,13470,0.1048681891737171
27.7,12420,0.10633587933901238
27.8,14446,0.10840228999689895
27.9,12768,0.10891952750269383
28,14890,0.10473011633289378
28.1,12976,0.10664939545641014
28.2,14274,0.10804701386253623
28.3,12412,0.10731688414217595
28.4,13474,0.10592369207986072
28.5,11528,0.10889728586447325
28.6,12318,0.10335865126233527
28.7,10200,0.10258003855237866
28.8,11118,0.10494423253252415
28.9,9570,0.1063792636425425
29,9792,0.10106095950993535
29.1,8386,0.10310483625684268
29.2,9012,0.10617281321623333
29.3,7362,0.10493869975525676
29.4,8132,0.09908931475509425
29.5,6786,0.10083148140031833
29.6,7552,0.11452465568643848
29.7,6544,0.10645301680230179
29.8,6906,0.11088757378288219
29.9,5854,0.10385951019180151
30,6470,0.11903106253034543
30.1,5442,0.1342145209617853
30.2,6016,0.11447291247858349
30.3,5074,0.10842661720120479
30.4,5630,0.10363845278560528
30.5,4920,0.09734311721669166
30.6,5042,0.10988557742298719
30.7,4712,0.12669294991406718
