year,rank,title,link,worldwide_gross
2012,6,Talaash: The Answer Lies Within,https://en.wikipedia.org/wiki/Talaash:_The_Answer_Lies_Within,180.83
2012,7,Barfi!,https://en.wikipedia.org/wiki/Barfi!,175
2012,8,Housefull 2,https://en.wikipedia.org/wiki/Housefull_2,179.15
2012,9,Bol Bachchan,https://en.wikipedia.org/wiki/Bol_Bachchan,165.68
2012,10,Son of Sardaar,https://en.wikipedia.org/wiki/Son_of_Sardaar,161.48
2013,1,Dhoom 3,https://en.wikipedia.org/wiki/Dhoom_3,589.02
2013,2,Chennai Express,https://en.wikipedia.org/wiki/Chennai_Express,423.76
2013,3,Krrish 3,https://en.wikipedia.org/wiki/Krrish_3,393.37
2013,4,Yeh Jawaani Hai Deewani,https://en.wikipedia.org/wiki/Yeh_Jawaani_Hai_Deewani,319.01
2013,5,Aashiqui 2,https://en.wikipedia.org/wiki/Aashiqui_2,250
2013,6,Goliyon Ki Raasleela Ram-Leela,https://en.wikipedia.org/wiki/Goliyon_Ki_Raasleela_Ram-Leela,220.58
2013,7,Vishwaroopam,https://en.wikipedia.org/wiki/Vishwaroopam,220
2013,8,Bhaag Milkha Bhaag,https://en.wikipedia.org/wiki/Bhaag_Milkha_Bhaag,200
2013,9,Race 2,https://en.wikipedia.org/wiki/Race_2,175.75
2013,10,Grand Masti,https://en.wikipedia.org/wiki/Grand_Masti,148.23
2014,1,PK,https://en.wikipedia.org/wiki/PK_(film),769
2014,2,Kick,https://en.wikipedia.org/wiki/Kick_(2014_film),402
2014,3,Happy New Year,https://en.wikipedia.org/wiki/Happy_New_Year_(2014_film),342
2014,4,Bang Bang!,https://en.wikipedia.org/wiki/Bang_Bang!,333
2014,5,Singham Returns,https://en.wikipedia.org/wiki/Singham_Returns,215
2014,6,Jai Ho,https://en.wikipedia.org/wiki/Jai_Ho_(film),186
2014,7,Holiday: A Soldier Is Never Off Duty,https://en.wikipedia.org/wiki/Holiday:_A_Soldier_Is_Never_Off_Duty,176.42
2014,8,2 States,https://en.wikipedia.org/wiki/2_States_(2014_film),172.99
2014,9,Ek Villain,https://en.wikipedia.org/wiki/Ek_Villain,169.62
2014,10,Gunday,https://en.wikipedia.org/wiki/Gunday,130.91
2015,1,Bajrangi Bhaijaan,https://en.wikipedia.org/wiki/Bajrangi_Bhaijaan,920.9
2015,2,Prem Ratan Dhan Payo,https://en.wikipedia.org/wiki/Prem_Ratan_Dhan_Payo,432
2015,3,Dilwale,https://en.wikipedia.org/wiki/Dilwale_(2015_film),376
2015,4,Bajirao Mastani,https://en.wikipedia.org/wiki/Bajirao_Mastani,356.2
2015,5,Tanu Weds Manu: Returns,https://en.wikipedia.org/wiki/Tanu_Weds_Manu:_Returns,243.6
2015,6,Welcome Back,https://en.wikipedia.org/wiki/Welcome_Back_(film),168.76
2015,7,ABCD 2,https://en.wikipedia.org/wiki/ABCD_2,158.31
2015,8,Drishyam,https://en.wikipedia.org/wiki/Drishyam_(2015_film),147
2015,9,Dil Dhadakne Do,https://en.wikipedia.org/wiki/Dil_Dhadakne_Do,145
2015,10,Baby,https://en.wikipedia.org/wiki/Baby_(2015_Hindi_film),142.98
2016,1,Dangal,https://en.wikipedia.org/wiki/Dangal_(2016_film),2160
2016,2,Sultan,https://en.wikipedia.org/wiki/Sultan_(2016_film),631.25
2016,3,Ae Dil Hai Mushkil,https://en.wikipedia.org/wiki/Ae_Dil_Hai_Mushkil,239.56
2016,4,Rustom,https://en.wikipedia.org/wiki/Rustom_(film),216.35
2016,5,M.S. Dhoni: The Untold Story,https://en.wikipedia.org/wiki/M.S._Dhoni:_The_Untold_Story,215.48
2016,6,Airlift,https://en.wikipedia.org/wiki/Airlift_(film),209.97
2016,7,Housefull 3,https://en.wikipedia.org/wiki/Housefull_3,194.94
2016,8,Fan,https://en.wikipedia.org/wiki/Fan_(2016_film),188.04
2016,9,Kapoor & Sons,https://en.wikipedia.org/wiki/Kapoor_&_Sons,143.29
2016,10,Shivaay,https://en.wikipedia.org/wiki/Shivaay,124.15
2017,1,Secret Superstar,https://en.wikipedia.org/wiki/Secret_Superstar,977
2017,2,Tiger Zinda Hai,https://en.wikipedia.org/wiki/Tiger_Zinda_Hai,570.83
2017,3,Hindi Medium,https://en.wikipedia.org/wiki/Hindi_Medium,334.36
2017,4,Toilet: Ek Prem Katha,https://en.wikipedia.org/wiki/Toilet:_Ek_Prem_Katha,311.5
2017,5,Golmaal Again,https://en.wikipedia.org/wiki/Golmaal_Again,311.05
2017,6,Raees,https://en.wikipedia.org/wiki/Raees_(2017_film),308.1
2017,7,Judwaa 2,https://en.wikipedia.org/wiki/Judwaa_2,227.59
2017,8,Tubelight,https://en.wikipedia.org/wiki/Tubelight_(2017_Hindi_film),211.14
2017,9,Kaabil,https://en.wikipedia.org/wiki/Kaabil,208.14
2017,10,Badrinath Ki Dulhania,https://en.wikipedia.org/wiki/Badrinath_Ki_Dulhania,200.45
2018,1,Sanju,https://en.wikipedia.org/wiki/Sanju,586.85
2018,2,Padmaavat,https://en.wikipedia.org/wiki/Padmaavat,571.98
2018,3,Andhadhun,https://en.wikipedia.org/wiki/Andhadhun,456.89
2018,4,Simmba,https://en.wikipedia.org/wiki/Simmba,400.19
2018,5,Thugs of Hindostan,https://en.wikipedia.org/wiki/Thugs_of_Hindostan,335
2018,6,Race 3,https://en.wikipedia.org/wiki/Race_3,303
2018,7,Baaghi 2,https://en.wikipedia.org/wiki/Baaghi_2,254.33
2018,8,Hichki,https://en.wikipedia.org/wiki/Hichki,239.79
2018,9,Badhaai Ho,https://en.wikipedia.org/wiki/Badhaai_Ho,221.44
2018,10,Pad Man,https://en.wikipedia.org/wiki/Pad_Man_(film),212.02
2019,1,War,https://en.wikipedia.org/wiki/War_(2019_film),475.62
2019,2,Saaho,https://en.wikipedia.org/wiki/Saaho,423.32
2019,3,Kabir Singh,https://en.wikipedia.org/wiki/Kabir_Singh,379.02
2019,4,Uri: The Surgical Strike,https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,342.06
2019,5,Bharat,https://en.wikipedia.org/wiki/Bharat_(film),325.58
2019,6,Good Newwz,https://en.wikipedia.org/wiki/Good_Newwz,318.57
2019,7,Housefull 4,https://en.wikipedia.org/wiki/Housefull_4,280.27
2019,8,Mission Mangal,https://en.wikipedia.org/wiki/Mission_Mangal,290.59
2019,9,Gully Boy,https://en.wikipedia.org/wiki/Gully_Boy,238.16
2019,10,Dabangg 3,https://en.wikipedia.org/wiki/Dabangg_3,230.93
2020,1,Tanhaji,https://en.wikipedia.org/wiki/Tanhaji,368
2020,2,Baaghi 3,https://en.wikipedia.org/wiki/Baaghi_3,137.05
2020,3,Street Dancer 3D,https://en.wikipedia.org/wiki/Street_Dancer_3D,97
2020,4,Shubh Mangal Zyada Saavdhan,https://en.wikipedia.org/wiki/Shubh_Mangal_Zyada_Saavdhan,87
2020,5,Malang,https://en.wikipedia.org/wiki/Malang_(film),81.5
2020,6,Chhapaak,https://en.wikipedia.org/wiki/Chhapaak,55.44
2020,7,Love Aaj Kal,https://en.wikipedia.org/wiki/Love_Aaj_Kal_(2020_film),52.63
2020,8,Jawaani Jaaneman,https://en.wikipedia.org/wiki/Jawaani_Jaaneman,44.77
2020,9,Thappad,https://en.wikipedia.org/wiki/Thappad,44.54
2020,10,Panga,https://en.wikipedia.org/wiki/Panga_(film),41.71
2021,1,Sooryavanshi,https://en.wikipedia.org/wiki/Sooryavanshi,302.52
2021,2,83,https://en.wikipedia.org/wiki/83_(film),193.73
2021,3,Antim: The Final Truth,https://en.wikipedia.org/wiki/Antim:_The_Final_Truth,59.11
2021,4,Bell Bottom,https://en.wikipedia.org/wiki/Bell_Bottom_(2021_film),50.58
2021,5,Chandigarh Kare Aashiqui,https://en.wikipedia.org/wiki/Chandigarh_Kare_Aashiqui,41.23
2021,6,Tadap,https://en.wikipedia.org/wiki/Tadap_(2021_film),34.86
2021,7,Roohi,https://en.wikipedia.org/wiki/Roohi_(2021_film),30.33
2021,8,Mumbai Saga,https://en.wikipedia.org/wiki/Mumbai_Saga,22.29
2021,9,Bunty Aur Babli 2,https://en.wikipedia.org/wiki/Bunty_Aur_Babli_2,22.12
2021,10,Radhe,https://en.wikipedia.org/wiki/Radhe_(2021_film),18.33
2022,1,Brahmāstra: Part One – Shiva,https://en.wikipedia.org/wiki/Brahmāstra:_Part_One_–_Shiva,435
2022,2,Drishyam 2,https://en.wikipedia.org/wiki/Drishyam_2_(2022_film),345.05
2022,3,The Kashmir Files,https://en.wikipedia.org/wiki/The_Kashmir_Files,340.92
2022,4,Bhool Bhulaiyaa 2,https://en.wikipedia.org/wiki/Bhool_Bhulaiyaa_2,266.88
2022,5,Gangubai Kathiawadi,https://en.wikipedia.org/wiki/Gangubai_Kathiawadi,209.77
2022,6,Radhe Shyam,https://en.wikipedia.org/wiki/Radhe_Shyam,275
2022,7,Jugjugg Jeeyo,https://en.wikipedia.org/wiki/Jugjugg_Jeeyo,136.13
2022,8,Vikram Vedha,https://en.wikipedia.org/wiki/Vikram_Vedha_(2022_film),135.03
